date,time,phase,phaseid,datetime,timestamp,friendlydate
01/02/2016,12:30 AM,Last Quarter,4,2016-01-02 00:30:00,1451712600,"January 2, 2016"
01/09/2016,08:31 PM,New Moon,1,2016-01-09 20:31:00,1452389460,"January 9, 2016"
01/16/2016,06:26 PM,First Quarter,2,2016-01-16 18:26:00,1452986760,"January 16, 2016"
01/23/2016,08:46 PM,Full Moon,3,2016-01-23 20:46:00,1453599960,"January 23, 2016"
01/31/2016,10:28 PM,Last Quarter,4,2016-01-31 22:28:00,1454297280,"January 31, 2016"
02/08/2016,09:39 AM,New Moon,1,2016-02-08 09:39:00,1454942340,"February 8, 2016"
02/15/2016,02:46 AM,First Quarter,2,2016-02-15 02:46:00,1455522360,"February 15, 2016"
02/22/2016,01:20 PM,Full Moon,3,2016-02-22 13:20:00,1456165200,"February 22, 2016"
03/01/2016,06:11 PM,Last Quarter,4,2016-03-01 18:11:00,1456873860,"March 1, 2016"
03/08/2016,08:54 PM,New Moon,1,2016-03-08 20:54:00,1457488440,"March 8, 2016"
03/15/2016,01:03 PM,First Quarter,2,2016-03-15 13:03:00,1458061380,"March 15, 2016"
03/23/2016,08:01 AM,Full Moon,3,2016-03-23 08:01:00,1458734460,"March 23, 2016"
03/31/2016,11:17 AM,Last Quarter,4,2016-03-31 11:17:00,1459437420,"March 31, 2016"
04/07/2016,07:24 AM,New Moon,1,2016-04-07 07:24:00,1460028240,"April 7, 2016"
04/13/2016,11:59 PM,First Quarter,2,2016-04-13 23:59:00,1460606340,"April 13, 2016"
04/22/2016,01:24 AM,Full Moon,3,2016-04-22 01:24:00,1461302640,"April 22, 2016"
04/29/2016,11:29 PM,Last Quarter,4,2016-04-29 23:29:00,1461986940,"April 29, 2016"
05/06/2016,03:30 PM,New Moon,1,2016-05-06 15:30:00,1462563000,"May 6, 2016"
05/13/2016,01:02 PM,First Quarter,2,2016-05-13 13:02:00,1463158920,"May 13, 2016"
05/21/2016,05:14 PM,Full Moon,3,2016-05-21 17:14:00,1463865240,"May 21, 2016"
05/29/2016,08:12 AM,Last Quarter,4,2016-05-29 08:12:00,1464523920,"May 29, 2016"
06/04/2016,11:00 PM,New Moon,1,2016-06-04 23:00:00,1465095600,"June 4, 2016"
06/12/2016,04:10 AM,First Quarter,2,2016-06-12 04:10:00,1465719000,"June 12, 2016"
06/20/2016,07:02 AM,Full Moon,3,2016-06-20 07:02:00,1466420520,"June 20, 2016"
06/27/2016,02:19 PM,Last Quarter,4,2016-06-27 14:19:00,1467051540,"June 27, 2016"
07/04/2016,07:01 AM,New Moon,1,2016-07-04 07:01:00,1467630060,"July 4, 2016"
07/11/2016,08:52 PM,First Quarter,2,2016-07-11 20:52:00,1468284720,"July 11, 2016"
07/19/2016,06:57 PM,Full Moon,3,2016-07-19 18:57:00,1468969020,"July 19, 2016"
07/26/2016,07:00 PM,Last Quarter,4,2016-07-26 19:00:00,1469574000,"July 26, 2016"
08/02/2016,04:45 PM,New Moon,1,2016-08-02 16:45:00,1470170700,"August 2, 2016"
08/10/2016,02:21 PM,First Quarter,2,2016-08-10 14:21:00,1470853260,"August 10, 2016"
08/18/2016,05:27 AM,Full Moon,3,2016-08-18 05:27:00,1471512420,"August 18, 2016"
08/24/2016,11:41 PM,Last Quarter,4,2016-08-24 23:41:00,1472096460,"August 24, 2016"
09/01/2016,05:03 AM,New Moon,1,2016-09-01 05:03:00,1472720580,"September 1, 2016"
09/09/2016,07:49 AM,First Quarter,2,2016-09-09 07:49:00,1473421740,"September 9, 2016"
09/16/2016,03:05 PM,Full Moon,3,2016-09-16 15:05:00,1474052700,"September 16, 2016"
09/23/2016,05:56 AM,Last Quarter,4,2016-09-23 05:56:00,1474624560,"September 23, 2016"
09/30/2016,08:11 PM,New Moon,1,2016-09-30 20:11:00,1475280660,"September 30, 2016"
10/09/2016,12:33 AM,First Quarter,2,2016-10-09 00:33:00,1475987580,"October 9, 2016"
10/16/2016,12:23 AM,Full Moon,3,2016-10-16 00:23:00,1476591780,"October 16, 2016"
10/22/2016,03:14 PM,Last Quarter,4,2016-10-22 15:14:00,1477163640,"October 22, 2016"
10/30/2016,01:38 PM,New Moon,1,2016-10-30 13:38:00,1477849080,"October 30, 2016"
11/07/2016,02:51 PM,First Quarter,2,2016-11-07 14:51:00,1478548260,"November 7, 2016"
11/14/2016,08:52 AM,Full Moon,3,2016-11-14 08:52:00,1479131520,"November 14, 2016"
11/21/2016,03:33 AM,Last Quarter,4,2016-11-21 03:33:00,1479717180,"November 21, 2016"
11/29/2016,07:18 AM,New Moon,1,2016-11-29 07:18:00,1480421880,"November 29, 2016"
12/07/2016,04:03 AM,First Quarter,2,2016-12-07 04:03:00,1481101380,"December 7, 2016"
12/13/2016,07:06 PM,Full Moon,3,2016-12-13 19:06:00,1481673960,"December 13, 2016"
12/20/2016,08:56 PM,Last Quarter,4,2016-12-20 20:56:00,1482285360,"December 20, 2016"
12/29/2016,01:53 AM,New Moon,1,2016-12-29 01:53:00,1482994380,"December 29, 2016"
