,date,moonPhase
245,2016-02-15,0.26
246,2016-02-16,0.3
247,2016-02-17,0.34
248,2016-02-18,0.37
249,2016-02-19,0.4
250,2016-02-20,0.44
251,2016-02-21,0.47
252,2016-02-22,0.49
253,2016-02-23,0.53
254,2016-02-24,0.56
255,2016-02-25,0.59
256,2016-02-26,0.62
257,2016-02-27,0.65
258,2016-02-28,0.68
259,2016-02-29,0.71
260,2016-03-01,0.74
261,2016-03-02,0.78
262,2016-03-03,0.81
263,2016-03-04,0.84
264,2016-03-05,0.88
265,2016-03-06,0.91
266,2016-03-07,0.95
267,2016-03-08,0.99
268,2016-03-09,0.02
269,2016-03-10,0.06
270,2016-03-11,0.1
271,2016-03-12,0.14
272,2016-03-13,0.17
273,2016-03-14,0.21
274,2016-03-15,0.25
275,2016-03-16,0.28
276,2016-03-17,0.32
277,2016-03-18,0.35
278,2016-03-19,0.38
279,2016-03-20,0.42
280,2016-03-21,0.45
281,2016-03-22,0.48
282,2016-03-23,0.51
283,2016-03-24,0.54
284,2016-03-25,0.57
285,2016-03-26,0.6
286,2016-03-27,0.63
287,2016-03-28,0.66
288,2016-03-29,0.69
289,2016-03-30,0.72
290,2016-03-31,0.75
291,2016-04-01,0.79
292,2016-04-02,0.82
293,2016-04-03,0.86
294,2016-04-04,0.9
295,2016-04-05,0.93
296,2016-04-06,0.97
297,2016-04-07,0.01
298,2016-04-08,0.05
299,2016-04-09,0.09
300,2016-04-10,0.12
301,2016-04-11,0.16
302,2016-04-12,0.2
303,2016-04-13,0.23
304,2016-04-14,0.26
305,2016-04-15,0.3
306,2016-04-16,0.33
307,2016-04-17,0.36
308,2016-04-18,0.39
309,2016-04-19,0.42
310,2016-04-20,0.45
311,2016-04-21,0.48
312,2016-04-22,0.52
313,2016-04-23,0.55
314,2016-04-24,0.58
315,2016-04-25,0.61
316,2016-04-26,0.64
317,2016-04-27,0.67
318,2016-04-28,0.7
319,2016-04-29,0.74
320,2016-04-30,0.77
321,2016-05-01,0.81
322,2016-05-02,0.85
323,2016-05-03,0.88
324,2016-05-04,0.92
325,2016-05-05,0.96
326,2016-05-06,0.01
327,2016-05-07,0.04
328,2016-05-08,0.07
329,2016-05-09,0.11
330,2016-05-10,0.15
331,2016-05-11,0.18
332,2016-05-12,0.21
333,2016-05-13,0.25
334,2016-05-14,0.28
335,2016-05-15,0.31
336,2016-05-16,0.34
337,2016-05-17,0.37
338,2016-05-18,0.4
339,2016-05-19,0.43
340,2016-05-20,0.46
341,2016-05-21,0.48
342,2016-05-22,0.53
343,2016-05-23,0.56
344,2016-05-24,0.59
345,2016-05-25,0.62
346,2016-05-26,0.65
347,2016-05-27,0.69
348,2016-05-28,0.72
349,2016-05-29,0.76
350,2016-05-30,0.8
351,2016-05-31,0.83
352,2016-06-01,0.87
353,2016-06-02,0.91
354,2016-06-03,0.95
355,2016-06-04,0.98
356,2016-06-05,0.03
357,2016-06-06,0.06
358,2016-06-07,0.1
359,2016-06-08,0.13
360,2016-06-09,0.16
361,2016-06-10,0.2
362,2016-06-11,0.23
363,2016-06-12,0.26
364,2016-06-13,0.29
365,2016-06-14,0.32
366,2016-06-15,0.35
367,2016-06-16,0.38
368,2016-06-17,0.41
369,2016-06-18,0.44
370,2016-06-19,0.47
371,2016-06-20,0.51
372,2016-06-21,0.54
373,2016-06-22,0.57
374,2016-06-23,0.6
375,2016-06-24,0.64
376,2016-06-25,0.68
377,2016-06-26,0.71
378,2016-06-27,0.75
379,2016-06-28,0.79
380,2016-06-29,0.82
381,2016-06-30,0.86
382,2016-07-01,0.9
383,2016-07-02,0.94
384,2016-07-03,0.97
385,2016-07-04,0.02
386,2016-07-05,0.05
387,2016-07-06,0.08
388,2016-07-07,0.11
389,2016-07-08,0.15
390,2016-07-09,0.18
391,2016-07-10,0.21
392,2016-07-11,0.24
393,2016-07-12,0.27
394,2016-07-13,0.3
395,2016-07-14,0.33
396,2016-07-15,0.36
397,2016-07-16,0.39
398,2016-07-17,0.42
399,2016-07-18,0.45
400,2016-07-19,0.48
401,2016-07-20,0.52
402,2016-07-21,0.56
403,2016-07-22,0.59
404,2016-07-23,0.63
405,2016-07-24,0.66
406,2016-07-25,0.7
407,2016-07-26,0.74
408,2016-07-27,0.78
409,2016-07-28,0.82
410,2016-07-29,0.85
411,2016-07-30,0.89
412,2016-07-31,0.93
413,2016-08-01,0.96
414,2016-08-02,0.99
415,2016-08-03,0.03
416,2016-08-04,0.06
417,2016-08-05,0.1
418,2016-08-06,0.13
419,2016-08-07,0.16
420,2016-08-08,0.19
421,2016-08-09,0.22
422,2016-08-10,0.25
423,2016-08-11,0.28
424,2016-08-12,0.31
425,2016-08-13,0.34
426,2016-08-14,0.37
427,2016-08-15,0.4
428,2016-08-16,0.44
429,2016-08-17,0.47
430,2016-08-18,0.51
431,2016-08-19,0.54
432,2016-08-20,0.58
433,2016-08-21,0.62
434,2016-08-22,0.65
435,2016-08-23,0.69
436,2016-08-24,0.73
437,2016-08-25,0.77
438,2016-08-26,0.8
439,2016-08-27,0.84
440,2016-08-28,0.88
441,2016-08-29,0.91
442,2016-08-30,0.95
443,2016-08-31,0.98
444,2016-09-01,0.01
445,2016-09-02,0.04
446,2016-09-03,0.08
447,2016-09-04,0.11
448,2016-09-05,0.14
449,2016-09-06,0.17
450,2016-09-07,0.2
451,2016-09-08,0.23
452,2016-09-09,0.26
453,2016-09-10,0.29
454,2016-09-11,0.32
455,2016-09-12,0.35
456,2016-09-13,0.39
457,2016-09-14,0.42
458,2016-09-15,0.46
459,2016-09-16,0.49
460,2016-09-17,0.53
461,2016-09-18,0.57
462,2016-09-19,0.61
463,2016-09-20,0.64
464,2016-09-21,0.68
465,2016-09-22,0.72
466,2016-09-23,0.75
467,2016-09-24,0.79
468,2016-09-25,0.83
469,2016-09-26,0.86
470,2016-09-27,0.9
471,2016-09-28,0.93
472,2016-09-29,0.96
473,2016-09-30,0.99
474,2016-10-01,0.02
475,2016-10-02,0.05
476,2016-10-03,0.08
477,2016-10-04,0.11
478,2016-10-05,0.14
479,2016-10-06,0.17
480,2016-10-07,0.21
481,2016-10-08,0.24
482,2016-10-09,0.27
483,2016-10-10,0.3
484,2016-10-11,0.34
485,2016-10-12,0.37
486,2016-10-13,0.41
487,2016-10-14,0.44
488,2016-10-15,0.48
489,2016-10-16,0.52
