,date,moonPhase
1068,2018-05-18,0.12
1069,2018-05-19,0.15
1070,2018-05-20,0.19
1071,2018-05-21,0.23
1072,2018-05-22,0.27
1073,2018-05-23,0.3
1074,2018-05-24,0.34
1075,2018-05-25,0.37
1076,2018-05-26,0.41
1077,2018-05-27,0.44
1078,2018-05-28,0.47
1079,2018-05-29,0.51
1080,2018-05-30,0.54
1081,2018-05-31,0.57
1082,2018-06-01,0.6
1083,2018-06-02,0.63
1084,2018-06-03,0.66
1085,2018-06-04,0.69
1086,2018-06-05,0.72
1087,2018-06-06,0.75
1088,2018-06-07,0.78
1089,2018-06-08,0.81
1090,2018-06-09,0.85
1091,2018-06-10,0.88
1092,2018-06-11,0.92
1093,2018-06-12,0.95
1094,2018-06-13,0.99
1095,2018-06-14,0.03
1096,2018-06-15,0.07
1097,2018-06-16,0.11
1098,2018-06-17,0.14
1099,2018-06-18,0.18
1100,2018-06-19,0.22
1101,2018-06-20,0.26
1102,2018-06-21,0.29
1103,2018-06-22,0.33
1104,2018-06-23,0.36
1105,2018-06-24,0.39
1106,2018-06-25,0.42
1107,2018-06-26,0.45
1108,2018-06-27,0.48
1109,2018-06-28,0.52
1110,2018-06-29,0.55
1111,2018-06-30,0.58
1112,2018-07-01,0.61
1113,2018-07-02,0.64
1114,2018-07-03,0.67
1115,2018-07-04,0.7
1116,2018-07-05,0.73
1117,2018-07-06,0.77
1118,2018-07-07,0.8
1119,2018-07-08,0.83
1120,2018-07-09,0.87
1121,2018-07-10,0.91
1122,2018-07-11,0.94
1123,2018-07-12,0.98
1124,2018-07-13,0.02
1125,2018-07-14,0.06
1126,2018-07-15,0.1
1127,2018-07-16,0.13
1128,2018-07-17,0.17
1129,2018-07-18,0.21
1130,2018-07-19,0.24
1131,2018-07-20,0.28
1132,2018-07-21,0.31
1133,2018-07-22,0.34
1134,2018-07-23,0.37
1135,2018-07-24,0.4
1136,2018-07-25,0.43
1137,2018-07-26,0.46
1138,2018-07-27,0.49
1139,2018-07-28,0.52
1140,2018-07-29,0.56
1141,2018-07-30,0.59
1142,2018-07-31,0.62
1143,2018-08-01,0.65
1144,2018-08-02,0.68
1145,2018-08-03,0.72
1146,2018-08-04,0.75
1147,2018-08-05,0.79
1148,2018-08-06,0.82
1149,2018-08-07,0.86
1150,2018-08-08,0.9
1151,2018-08-09,0.94
1152,2018-08-10,0.97
1153,2018-08-11,0.01
1154,2018-08-12,0.05
1155,2018-08-13,0.09
1156,2018-08-14,0.12
1157,2018-08-15,0.16
1158,2018-08-16,0.19
1159,2018-08-17,0.23
1160,2018-08-18,0.26
1161,2018-08-19,0.29
1162,2018-08-20,0.32
1163,2018-08-21,0.35
1164,2018-08-22,0.38
1165,2018-08-23,0.41
1166,2018-08-24,0.44
1167,2018-08-25,0.47
1168,2018-08-26,0.51
1169,2018-08-27,0.54
1170,2018-08-28,0.57
1171,2018-08-29,0.6
1172,2018-08-30,0.63
1173,2018-08-31,0.67
1174,2018-09-01,0.7
1175,2018-09-02,0.74
1176,2018-09-03,0.77
1177,2018-09-04,0.81
1178,2018-09-05,0.85
1179,2018-09-06,0.89
1180,2018-09-07,0.92
1181,2018-09-08,0.96
1182,2018-09-09,0.01
1183,2018-09-10,0.04
1184,2018-09-11,0.07
1185,2018-09-12,0.11
1186,2018-09-13,0.14
1187,2018-09-14,0.18
1188,2018-09-15,0.21
1189,2018-09-16,0.24
1190,2018-09-17,0.27
1191,2018-09-18,0.3
1192,2018-09-19,0.33
1193,2018-09-20,0.36
1194,2018-09-21,0.39
1195,2018-09-22,0.42
1196,2018-09-23,0.45
1197,2018-09-24,0.48
1198,2018-09-25,0.52
1199,2018-09-26,0.55
1200,2018-09-27,0.58
1201,2018-09-28,0.62
1202,2018-09-29,0.65
1203,2018-09-30,0.69
1204,2018-10-01,0.72
1205,2018-10-02,0.76
1206,2018-10-03,0.8
1207,2018-10-04,0.84
1208,2018-10-05,0.87
1209,2018-10-06,0.91
1210,2018-10-07,0.95
1211,2018-10-08,0.98
1212,2018-10-09,0.03
1213,2018-10-10,0.06
1214,2018-10-11,0.09
1215,2018-10-12,0.12
1216,2018-10-13,0.16
1217,2018-10-14,0.19
1218,2018-10-15,0.22
1219,2018-10-16,0.25
1220,2018-10-17,0.28
1221,2018-10-18,0.31
1222,2018-10-19,0.34
1223,2018-10-20,0.37
1224,2018-10-21,0.4
1225,2018-10-22,0.43
1226,2018-10-23,0.46
1227,2018-10-24,0.51
1228,2018-10-25,0.53
1229,2018-10-26,0.57
1230,2018-10-27,0.6
1231,2018-10-28,0.64
1232,2018-10-29,0.67
1233,2018-10-30,0.71
1234,2018-10-31,0.75
1235,2018-11-01,0.79
1236,2018-11-02,0.82
1237,2018-11-03,0.86
1238,2018-11-04,0.9
1239,2018-11-05,0.93
1240,2018-11-06,0.97
1241,2018-11-07,0.02
1242,2018-11-08,0.04
1243,2018-11-09,0.07
1244,2018-11-10,0.1
1245,2018-11-11,0.13
1246,2018-11-12,0.16
1247,2018-11-13,0.19
1248,2018-11-14,0.22
1249,2018-11-15,0.25
1250,2018-11-16,0.28
1251,2018-11-17,0.31
1252,2018-11-18,0.35
1253,2018-11-19,0.38
1254,2018-11-20,0.41
1255,2018-11-21,0.44
1256,2018-11-22,0.47
1257,2018-11-23,0.52
1258,2018-11-24,0.55
1259,2018-11-25,0.59
1260,2018-11-26,0.62
1261,2018-11-27,0.66
1262,2018-11-28,0.7
1263,2018-11-29,0.74
1264,2018-11-30,0.77
1265,2018-12-01,0.81
1266,2018-12-02,0.85
1267,2018-12-03,0.88
1268,2018-12-04,0.92
1269,2018-12-05,0.95
1270,2018-12-06,0.98
1271,2018-12-07,0.02
1272,2018-12-08,0.05
1273,2018-12-09,0.08
1274,2018-12-10,0.11
1275,2018-12-11,0.14
1276,2018-12-12,0.17
1277,2018-12-13,0.2
1278,2018-12-14,0.23
1279,2018-12-15,0.26
1280,2018-12-16,0.29
1281,2018-12-17,0.32
1282,2018-12-18,0.36
1283,2018-12-19,0.39
1284,2018-12-20,0.42
1285,2018-12-21,0.46
1286,2018-12-22,0.49
1287,2018-12-23,0.53
1288,2018-12-24,0.57
1289,2018-12-25,0.61
1290,2018-12-26,0.65
1291,2018-12-27,0.68
1292,2018-12-28,0.72
1293,2018-12-29,0.76
1294,2018-12-30,0.79
1295,2018-12-31,0.83
1296,2019-01-01,0.86
1297,2019-01-02,0.9
1298,2019-01-03,0.93
1299,2019-01-04,0.96
1300,2019-01-05,0.99
1301,2019-01-06,0.02
1302,2019-01-07,0.05
1303,2019-01-08,0.08
1304,2019-01-09,0.11
1305,2019-01-10,0.14
1306,2019-01-11,0.17
1307,2019-01-12,0.2
1308,2019-01-13,0.24
