date,date,Aggravated Assault,Aircraft,Arson,Assembly or Gathering Violations,Auto Theft,Auto Theft Recovery,Ballistics,Biological Threat,Bomb Hoax,Burglary - No Property Taken,Commercial Burglary,Confidence Games,Counterfeiting,Criminal Harassment,Disorderly Conduct,Drug Violation,Embezzlement,Evading Fare,Explosives,Fire Related Reports,Firearm Discovery,Firearm Violations,Fraud,Gambling,HOME INVASION,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Harassment,Harbor Related Incidents,Homicide,INVESTIGATE PERSON,Investigate Person,Investigate Property,Landlord/Tenant Disputes,Larceny,Larceny From Motor Vehicle,License Plate Related Incidents,License Violation,Liquor Violation,Manslaughter,Medical Assistance,Missing Person Located,Missing Person Reported,Motor Vehicle Accident Response,Offenses Against Child / Family,Operating Under the Influence,Other,Other Burglary,Phone Call Complaints,Police Service Incidents,Prisoner Related Incidents,Property Found,Property Lost,Property Related Damage,Prostitution,Recovered Stolen Property,Residential Burglary,Restraining Order Violations,Robbery,Search Warrants,Service,Simple Assault,Towed,Vandalism,Verbal Disputes,Violations,Warrant Arrests,moonPhase,total
2015-06-28,2015-06-28,4.0,,,2.0,4.0,,1.0,,,,2.0,2.0,,,3.0,10.0,,1.0,,1.0,,1.0,2.0,,,,,1.0,,,,8.0,9.0,,16.0,14.0,,,,,10.0,7.0,4.0,37.0,,1.0,16.0,,,3.0,,4.0,6.0,4.0,,1.0,6.0,1.0,5.0,1.0,,15.0,7.0,11.0,7.0,9.0,1.0,0.38,237
2015-06-29,2015-06-29,4.0,,,3.0,10.0,,,,,,2.0,6.0,1.0,,2.0,15.0,,,,2.0,,,10.0,,,,,1.0,,,,12.0,7.0,1.0,33.0,9.0,1.0,,1.0,,20.0,5.0,3.0,20.0,1.0,1.0,19.0,,,2.0,,1.0,10.0,,,,5.0,1.0,2.0,1.0,,9.0,4.0,11.0,2.0,8.0,7.0,0.41,252
2015-06-30,2015-06-30,6.0,,,,1.0,1.0,1.0,,,,1.0,4.0,2.0,1.0,2.0,18.0,,,,2.0,1.0,1.0,9.0,,,,,2.0,,,,10.0,5.0,1.0,30.0,10.0,1.0,1.0,,,18.0,3.0,4.0,20.0,2.0,,18.0,1.0,,5.0,,6.0,6.0,1.0,,1.0,8.0,1.0,3.0,,,10.0,7.0,19.0,6.0,6.0,4.0,0.45,259
2015-07-01,2015-07-01,6.0,,,,4.0,1.0,,,,,1.0,5.0,3.0,,1.0,17.0,,1.0,1.0,1.0,,,10.0,,,,,7.0,,,,13.0,7.0,1.0,34.0,15.0,1.0,,1.0,,13.0,4.0,2.0,25.0,,1.0,23.0,1.0,,4.0,1.0,3.0,10.0,1.0,,3.0,10.0,2.0,2.0,,2.0,11.0,8.0,10.0,7.0,10.0,6.0,0.48,289
2015-07-02,2015-07-02,9.0,,,2.0,7.0,,2.0,,,,2.0,8.0,,,3.0,19.0,,,1.0,1.0,,1.0,11.0,,,,,3.0,,3.0,,6.0,9.0,1.0,22.0,10.0,1.0,,,,11.0,4.0,6.0,28.0,1.0,1.0,19.0,,,4.0,,4.0,9.0,,,1.0,8.0,,2.0,3.0,,14.0,6.0,10.0,5.0,9.0,6.0,0.52,272
2015-07-03,2015-07-03,5.0,,,,5.0,,,,,,,11.0,1.0,,5.0,25.0,,,,2.0,,3.0,2.0,,,,,1.0,,,,10.0,13.0,1.0,26.0,10.0,1.0,,1.0,,14.0,3.0,1.0,18.0,,1.0,10.0,1.0,,3.0,,4.0,7.0,,,,7.0,2.0,10.0,1.0,,15.0,11.0,15.0,7.0,10.0,8.0,0.56,270
2015-07-04,2015-07-04,16.0,,,1.0,2.0,,,,,,1.0,1.0,1.0,,2.0,15.0,,1.0,,1.0,,1.0,1.0,,,,,,,2.0,,14.0,17.0,2.0,23.0,11.0,,4.0,1.0,,17.0,4.0,2.0,20.0,,,17.0,,,,,2.0,9.0,,,1.0,2.0,2.0,4.0,,,15.0,1.0,17.0,9.0,6.0,9.0,0.59,254
2015-07-05,2015-07-05,16.0,,,,4.0,,2.0,,,,,,2.0,,2.0,9.0,,,,4.0,2.0,9.0,2.0,,,,,2.0,,,,15.0,3.0,,21.0,7.0,,2.0,2.0,,16.0,2.0,1.0,31.0,1.0,1.0,10.0,,,,,6.0,8.0,1.0,,1.0,8.0,2.0,4.0,,,15.0,7.0,15.0,7.0,6.0,2.0,0.63,248
2015-07-06,2015-07-06,8.0,,,,3.0,,1.0,,,,1.0,3.0,,,2.0,16.0,,,,2.0,,1.0,14.0,,,,,3.0,,,,10.0,5.0,2.0,27.0,6.0,1.0,2.0,3.0,,11.0,2.0,2.0,37.0,1.0,,22.0,,,5.0,1.0,4.0,6.0,1.0,,5.0,8.0,3.0,3.0,1.0,1.0,10.0,10.0,12.0,15.0,10.0,8.0,0.67,288
2015-07-07,2015-07-07,4.0,,,,8.0,1.0,2.0,,,,1.0,1.0,1.0,,7.0,12.0,,1.0,,3.0,2.0,,10.0,,,,,2.0,1.0,,,13.0,2.0,,30.0,8.0,1.0,,1.0,,11.0,5.0,2.0,26.0,,1.0,12.0,,,1.0,,3.0,9.0,,,1.0,7.0,2.0,8.0,1.0,,14.0,7.0,15.0,8.0,7.0,10.0,0.7,261
