,Date,Percent Illumination,Total Crimes,City
198,2015-07-18,5.0,218,
199,2015-07-19,10.0,208,
200,2015-07-20,16.0,169,
201,2015-07-21,24.0,157,
202,2015-07-22,32.0,180,
203,2015-07-23,41.0,200,
204,2015-07-24,51.0,217,
205,2015-07-25,61.0,201,
206,2015-07-26,70.0,203,
207,2015-07-27,79.0,187,
208,2015-07-28,87.0,201,
209,2015-07-29,93.0,173,
210,2015-07-30,98.0,182,
211,2015-07-31,100.0,206,
212,2015-08-01,99.0,220,
213,2015-08-02,95.0,181,
214,2015-08-03,89.0,200,
215,2015-08-04,81.0,178,
216,2015-08-05,70.0,196,
217,2015-08-06,60.0,187,
218,2015-08-07,48.0,195,
219,2015-08-08,37.0,224,
220,2015-08-09,27.0,159,
221,2015-08-10,18.0,190,
222,2015-08-11,11.0,194,
223,2015-08-12,6.0,171,
224,2015-08-13,2.0,202,
225,2015-08-14,0.0,202,
226,2015-08-15,0.0,183,
227,2015-08-16,2.0,205,
228,2015-08-17,6.0,187,
229,2015-08-18,12.0,185,
230,2015-08-19,18.0,154,
231,2015-08-20,26.0,220,
232,2015-08-21,35.0,218,
233,2015-08-22,45.0,171,
234,2015-08-23,55.0,197,
235,2015-08-24,65.0,247,
236,2015-08-25,74.0,211,
237,2015-08-26,83.0,206,
238,2015-08-27,91.0,205,
239,2015-08-28,96.0,210,
240,2015-08-29,100.0,185,
241,2015-08-30,100.0,170,
242,2015-08-31,97.0,192,
243,2015-09-01,91.0,223,
244,2015-09-02,83.0,186,
245,2015-09-03,73.0,167,
246,2015-09-04,63.0,200,
247,2015-09-05,52.0,207,
248,2015-09-06,41.0,216,
249,2015-09-07,31.0,165,
250,2015-09-08,22.0,186,
251,2015-09-09,15.0,173,
252,2015-09-10,8.0,189,
253,2015-09-11,4.0,204,
254,2015-09-12,1.0,192,
255,2015-09-13,0.0,189,
256,2015-09-14,1.0,180,
257,2015-09-15,3.0,181,
258,2015-09-16,8.0,229,
259,2015-09-17,14.0,230,
260,2015-09-18,21.0,208,
261,2015-09-19,29.0,183,
262,2015-09-20,39.0,176,
263,2015-09-21,49.0,204,
264,2015-09-22,59.0,199,
265,2015-09-23,70.0,182,
266,2015-09-24,80.0,177,
267,2015-09-25,88.0,183,
268,2015-09-26,95.0,170,
269,2015-09-27,99.0,162,
270,2015-09-28,100.0,197,
271,2015-09-29,98.0,183,
272,2015-09-30,93.0,213,
273,2015-10-01,86.0,238,
274,2015-10-02,77.0,218,
275,2015-10-03,67.0,189,
276,2015-10-04,57.0,154,
277,2015-10-05,46.0,167,
278,2015-10-06,36.0,197,
279,2015-10-07,27.0,232,
280,2015-10-08,19.0,199,
281,2015-10-09,12.0,226,
282,2015-10-10,7.0,202,
283,2015-10-11,3.0,191,
284,2015-10-12,1.0,184,
285,2015-10-13,0.0,195,
286,2015-10-14,1.0,206,
287,2015-10-15,5.0,217,
288,2015-10-16,10.0,211,
289,2015-10-17,16.0,191,
290,2015-10-18,24.0,174,
291,2015-10-19,33.0,174,
292,2015-10-20,44.0,191,
293,2015-10-21,54.0,140,
294,2015-10-22,65.0,201,
295,2015-10-23,76.0,201,
296,2015-10-24,85.0,188,
297,2015-10-25,93.0,178,
298,2015-10-26,98.0,194,
299,2015-10-27,100.0,188,
300,2015-10-28,99.0,201,
301,2015-10-29,95.0,185,
302,2015-10-30,89.0,201,
303,2015-10-31,82.0,183,
304,2015-11-01,73.0,234,
305,2015-11-02,63.0,161,
306,2015-11-03,53.0,168,
307,2015-11-04,43.0,164,
308,2015-11-05,34.0,178,
309,2015-11-06,25.0,202,
310,2015-11-07,17.0,170,
311,2015-11-08,11.0,151,
312,2015-11-09,6.0,199,
313,2015-11-10,2.0,167,
314,2015-11-11,0.0,197,
315,2015-11-12,0.0,175,
316,2015-11-13,2.0,197,
317,2015-11-14,6.0,181,
318,2015-11-15,12.0,196,
319,2015-11-16,20.0,167,
320,2015-11-17,29.0,141,
321,2015-11-18,39.0,191,
322,2015-11-19,50.0,182,
323,2015-11-20,61.0,160,
324,2015-11-21,72.0,172,
325,2015-11-22,82.0,159,
326,2015-11-23,90.0,164,
327,2015-11-24,96.0,165,
328,2015-11-25,99.0,168,
329,2015-11-26,100.0,95,
330,2015-11-27,98.0,140,
331,2015-11-28,93.0,167,
332,2015-11-29,87.0,154,
333,2015-11-30,79.0,144,
334,2015-12-01,70.0,171,
335,2015-12-02,60.0,164,
336,2015-12-03,51.0,178,
337,2015-12-04,41.0,157,
338,2015-12-05,32.0,183,
339,2015-12-06,24.0,121,
340,2015-12-07,16.0,169,
341,2015-12-08,10.0,172,
342,2015-12-09,5.0,188,
343,2015-12-10,2.0,194,
344,2015-12-11,0.0,204,
345,2015-12-12,1.0,170,
346,2015-12-13,4.0,172,
347,2015-12-14,9.0,162,
348,2015-12-15,16.0,124,
349,2015-12-16,25.0,108,
350,2015-12-17,35.0,136,
351,2015-12-18,46.0,156,
352,2015-12-19,57.0,177,
353,2015-12-20,68.0,163,
354,2015-12-21,78.0,168,
355,2015-12-22,87.0,191,
356,2015-12-23,94.0,187,
