Percent Illumination,Average Crime
0-3,422.5546875
4-10,423.1170212765957
11-21,419.78504672897196
22-35,419.13761467889907
36-50,421.97435897435895
51-65,420.21495327102804
66-78,423.77358490566036
79-89,426.963963963964
90-96,419.0462962962963
97-100,420.3211009174312
